"totInt","cellArea","cellnum","bkgrdInt","frame","cond","time","strain"
233768,117,14,1589.7918,8,"infected",60,"LZ22221"
319835,159,15,1589.7918,8,"infected",60,"LZ22221"
227514,109,16,1589.7918,8,"infected",60,"LZ22221"
159558,84,17,1589.7918,8,"infected",60,"LZ22221"
267053,139,18,1589.7918,8,"infected",60,"LZ22221"
1399308,343,1,1648.4363,9,"infected",60,"LZ22221"
1641202,223,2,1648.4363,9,"infected",60,"LZ22221"
562000,308,3,1648.4363,9,"infected",60,"LZ22221"
482628,263,4,1648.4363,9,"infected",60,"LZ22221"
940665,377,5,1648.4363,9,"infected",60,"LZ22221"
1324395,265,6,1648.4363,9,"infected",60,"LZ22221"
1361206,178,7,1648.4363,9,"infected",60,"LZ22221"
1998803,276,8,1648.4363,9,"infected",60,"LZ22221"
1076862,230,9,1648.4363,9,"infected",60,"LZ22221"
837555,395,10,1648.4363,9,"infected",60,"LZ22221"
1207394,75,11,1648.4363,9,"infected",60,"LZ22221"
1351940,85,12,1648.4363,9,"infected",60,"LZ22221"
960620,480,1,1518.8234,10,"infected",60,"LZ22221"
1354998,465,2,1518.8234,10,"infected",60,"LZ22221"
664394,326,3,1518.8234,10,"infected",60,"LZ22221"
791136,385,4,1518.8234,10,"infected",60,"LZ22221"
349298,173,5,1518.8234,10,"infected",60,"LZ22221"
268199,78,6,1518.8234,10,"infected",60,"LZ22221"
147219,88,7,1518.8234,10,"infected",60,"LZ22221"
193694,113,8,1518.8234,10,"infected",60,"LZ22221"
384508,211,9,1518.8234,10,"infected",60,"LZ22221"
311177,180,10,1518.8234,10,"infected",60,"LZ22221"
373382,165,2,1637.9133,1,"infected",60,"LZ22221"
293493,167,3,1637.9133,1,"infected",60,"LZ22221"
1414884,341,4,1637.9133,1,"infected",60,"LZ22221"
858539,189,5,1637.9133,1,"infected",60,"LZ22221"
1265775,285,6,1637.9133,1,"infected",60,"LZ22221"
746896,370,7,1637.9133,1,"infected",60,"LZ22221"
1479844,175,8,1637.9133,1,"infected",60,"LZ22221"
460767,135,9,1637.9133,1,"infected",60,"LZ22221"
417606,197,10,1637.9133,1,"infected",60,"LZ22221"
326534,172,11,1637.9133,1,"infected",60,"LZ22221"
217898,113,12,1637.9133,1,"infected",60,"LZ22221"
456346,185,13,1637.9133,1,"infected",60,"LZ22221"
235398,81,14,1637.9133,1,"infected",60,"LZ22221"
387419,232,1,1515.7815,2,"infected",60,"LZ22221"
894927,510,2,1515.7815,2,"infected",60,"LZ22221"
719443,429,3,1515.7815,2,"infected",60,"LZ22221"
602543,260,4,1515.7815,2,"infected",60,"LZ22221"
390370,157,5,1515.7815,2,"infected",60,"LZ22221"
309222,129,6,1515.7815,2,"infected",60,"LZ22221"
632832,367,7,1515.7815,2,"infected",60,"LZ22221"
285968,164,8,1515.7815,2,"infected",60,"LZ22221"
342534,195,9,1515.7815,2,"infected",60,"LZ22221"
476835,135,10,1515.7815,2,"infected",60,"LZ22221"
900354,535,1,1554.3688,3,"infected",60,"LZ22221"
559908,334,2,1554.3688,3,"infected",60,"LZ22221"
1204022,515,3,1554.3688,3,"infected",60,"LZ22221"
